Chunk ID,Cluster,Confidence,Preview
chunk_000000,2,0.9999976528069943,The Road to React The React.js in JavaSc
chunk_000450,2,0.9999767562663692,til you have the right book and build tr
chunk_000900,0,0.9995881430726857,t Declaration Handler Function in JSX Re
chunk_001350,4,0.9748304900848453,-Fetching in React Memoized Functions in
chunk_001800,2,0.9039185033946333,ches Paginated Fetch Deploying a React A
chunk_002250,2,0.999999362890652,ct continues to reinvent itself while pu
chunk_002700,2,0.999999924872614,ct without complex tooling. The book cov
chunk_003150,2,0.9998988330441513,"lications. Ultimately , you’ll learn to "
chunk_003600,3,0.9999969379853992,ng JavaScript. Following the completion 
chunk_004050,3,0.9999999999994884,ite. Positive feedback from readers seek
chunk_004500,3,0.9999999978444691,bout collaborating with me can be found 
chunk_004950,3,1.0, Is the learning material up-to-date? Un
chunk_005400,3,1.0,my website. Since I use Amazon as one wa
chunk_005850,3,1.0,is the print version so large? If you’ve
chunk_006300,3,0.9999034994424468,t have many pages? The print version’ s 
chunk_006750,3,0.9999999962662685,which this book is written and structure
chunk_007200,3,0.9999980144693653,"immersive learning experience, I’ve take"
chunk_007650,2,0.9999856452306821,aScript Beginners JavaScript beginners w
chunk_008100,2,0.9999289923201955,wledge in this book though. JavaScript V
chunk_008550,2,0.9999940055516887,siasts JavaScript enthusiasts with knowl
chunk_009000,2,0.9741930081923148,"e, you should be more familiar than othe"
chunk_009450,2,0.9999903700446408,"t fundamentals, you should be good to ge"
chunk_009900,2,0.9995110900600361, application. Every section explains one
chunk_010350,3,0.9999999999995737," domain, because it attempts to teach as"
chunk_010800,3,0.9999999999999716,"l, it’ s possible to read from section t"
chunk_011250,3,0.9999999999964473,"ot hesitate to underline paragraphs, to "
chunk_011700,3,0.9999999949141625,rcise on the side to write down your lea
chunk_012150,3,0.9999999999999147,".Do not just copy paste code, instead ty"
chunk_012600,3,0.99999999999946, So get your hands dirty and do more cod
chunk_013050,3,0.9999999999998863,chance to present you the solution. Only
chunk_013500,2,0.9923781860085028,"afterwards, code even a bit more if you "
chunk_013950,2,0.9877691779623754,rough the creation of your first React p
chunk_014400,2,0.9999400759427651,llo React Single-page applications ( SPA
chunk_014850,3,0.9998291344760691,Let’s take a trip back in time before th
chunk_015300,3,0.9994739847651958, this sequence of events again. In this 
chunk_015750,3,0.9999984176473915,e focus from the server to the client. I
chunk_016200,2,0.9982000987508426,r JavaScript file. Following a network a
chunk_016650,2,0.9997646641052322,"avaScript, neatly structured into folder"
chunk_017100,2,0.9998770601455291,ML  and managing user interactions with 
chunk_017550,2,0.9999765042080627,"ework. Featuring a streamlined API, a fl"
chunk_018000,4,0.94857776686917,ack for this section . OceanofPDF .comRe
chunk_018450,3,0.9999999998598526,editor (e.g. Sublime Text) and a command
chunk_018900,3,0.9999994889228558,etails and I keep it separate from the b
chunk_019350,3,0.999999997978108,"ations professionally , a local setup wi"
chunk_019800,3,0.9999807955154636,’ve provided a short guide  on how to us
chunk_020250,3,0.9999999998287024,can be libraries or whole frameworks. We
chunk_020700,2,0.9999205988160796,sure that your installation is the most 
chunk_021150,2,0.9999646489292343,’ll use Vite to set up our React applica
chunk_021600,2,0.9999557419486579,"environment), and a bundler , which outp"
chunk_022050,2,0.9981829858021679,d for this book) or React TypeScript (ad
chunk_022500,2,0.9987972778822699," In a previous section, you have install"
chunk_022950,2,0.9998961051309078,current folder use mkdir <folder_name>  
chunk_023400,2,0.9998552571128904, + TypeScript project if you feel confid
chunk_023850,2,0.9996854069504068,"navigating into the folder , installing "
chunk_024300,2,0.9998613747004249," , for the rest of this section, we will"
chunk_024750,2,0.9994327798439547,src/ ----assets/ ------react.svg ----App
chunk_025200,3,0.9995356130282402,de/npm. package-lock.json:  This file in
chunk_025650,3,0.9999776181883777,all folders and files that shouldn’ t be
chunk_026100,2,0.9995170134930921,g.js:  A file to configure Vite. If you 
chunk_026550,2,0.9994111740797157,ng the project for production. index.htm
chunk_027000,2,0.999402841990813,plement React components. It will be use
chunk_027450,2,0.9999299241432361,style your overall application and compo
chunk_027900,3,0.9998534275023762,"sion: package.json ""dev"": ""vite"", ""build"
chunk_028350,3,0.9999999999973568,rrors npm run lint # Builds the applicat
chunk_028800,2,0.9989083688060408, former is not optimized for production 
chunk_029250,4,0.6339859620341474,an be used later on to deploy your appli
chunk_029700,2,0.9984045970374615,: Leave feedback for this section . Ocea
chunk_030150,3,0.9821683994717387,ogo  from './assets/react.svg' ; import 
chunk_030600,3,0.9960782610773793,"o }             className =""logo react"" "
chunk_031050,2,0.999834039597421,ogos to learn more       </p>     </>   
chunk_031500,2,0.9998007558874118,nts into multiple files. Let’s start by 
chunk_031950,2,0.997375479520145,un dev  on the command line and check wh
chunk_032400,0,0.9997691859975583,se . A component has to start with a cap
chunk_032850,0,0.507020264410914,". In the upcoming sections, you will lea"
chunk_033300,0,0.9930006070812076,wser . Like any other JavaScript functio
chunk_033750,0,0.9991574320141203,"s function runs, which shouldn’ t be som"
chunk_034200,3,0.9906829281140069,ause it has to display something dif fer
chunk_034650,0,0.9910834334245007,ove it outside. Therefore it will be def
chunk_035100,3,0.9979856373761591,not need anything from within the functi
chunk_035550,2,0.9977273832030994,ariable to use. Optional: Leave feedback
chunk_036000,3,0.7671216566898381,nd JavaScript. Let’ s see how this works
chunk_036450,0,0.9992731711506008,"change the variable in the source code, "
chunk_036900,0,0.9997627156876498, development server which makes this beh
chunk_037350,4,0.9989906736678572,r by using dedicated HTML  attributes fo
chunk_037800,0,0.9926529242428405,"d label combination, we specified three "
chunk_038250,0,0.9854194544942106,al HTML  attributes caused by internal i
chunk_038700,0,0.9994580521879851,es all HTML  attributes to JavaScript wh
chunk_039150,0,0.9894555359413029,n order to contrast how HTML  and JavaSc
chunk_039600,4,0.9963807242293551, the task. Before we have defined a Java
chunk_040050,4,0.9999337425567053,""" />     </div>   ); }export default App"
chunk_040500,4,0.9933075231045478,"l htmlFor=""search"">Search: </label>     "
chunk_040950,4,0.5200854849811056,Tools like Vite embrace the .jsx extensi
chunk_041400,4,0.7881480178059265,pt. Whereas the previous way of thinking
chunk_041850,2,0.997837537071081,thods of fered by React) which only allo
chunk_042300,4,0.5574299274029859,"HTML. Every JavaScript data structure, f"
chunk_042750,0,0.8628787268360869, in JSX. Advanced: Try to render a JavaS
chunk_043200,0,0.9967442142182971, like. Question: Can JSX be directly ren
chunk_043650,0,0.8645388279953085,.comLists in React When working with dat
chunk_044100,0,0.9493483418744694,"bers = [1, 2, 3, 4]; const exponentialNu"
chunk_044550,4,0.9669854203136492,yourself to render each object with its 
chunk_045000,3,0.9999879652927737,pp() { ... } // note the ... as placehol
chunk_045450,4,0.9971314552998836,hey don’t fit the desired naming convent
chunk_045900,4,0.9914580072512498,"label>       <input id=""search"" type=""te"
chunk_046350,0,0.8971544490992434,veloper in the end: just JS mixed with H
chunk_046800,0,0.9800335812087547,e an id (here: objectId ): src/App.jsx f
chunk_047250,4,0.7947678391861077,"keys, React may update the list inef fic"
chunk_047700,4,0.9941203670568262,"s last resort, you can use the index of "
chunk_048150,3,0.855848755131692," In addition, it can cause actual bugs i"
chunk_048600,4,0.816437249433693,a> tag) that surrounds the title . Try i
chunk_049050,4,0.9997478828351304,em.author}</span>               <span>{i
chunk_049500,0,0.971363202611938," JSX be used to display elements, but al"
chunk_049950,0,0.9073643340521691,"t, check out the author ’s source code h"
chunk_050400,0,0.7921801977548154,nd return JSX elements for each item. Qu
chunk_050850,0,0.9825987500249024,"rectly within JSX, but it’ s generally d"
chunk_051300,0,0.9563413221104797,ionalities (e.g. rendering a list of ite
chunk_051750,4,0.9783193419464523,.. ]; function App() { ... } function Li
chunk_052200,0,0.9780893501206972, be used in the App component where we h
chunk_052650,0,0.8146490649424762,ibuting to the greater good of a lar ger
chunk_053100,4,0.9328234714738813,>       <h1>My Hacker Stories</h1>      
chunk_053550,0,0.9876066195443298,. The following illustration assumes tha
chunk_054000,0,0.999945987154492,component and sibling components  to eac
chunk_054450,0,0.9759142731630622,ny child components. You can see how a R
chunk_054900,0,0.9960448787923556,o extract a component from another compo
chunk_055350,3,0.6171548619690689,t the author ’s source code . Recap all 
chunk_055800,0,0.9998003196295553,Why is it beneficial to extract componen
chunk_056250,3,0.9998625747734896,ponent to improve code or ganization. Qu
chunk_056700,2,0.9837053499331876,an analogy and the terminology . We will
chunk_057150,3,0.999998355852499,lows functional programming and object-o
chunk_057600,3,0.999936298092875,d assigns them to the class instance whe
chunk_058050,0,0.991943922912243,", one can create multiple instances of i"
chunk_058500,0,0.9971681148607747,"t, which also has only one component dec"
chunk_058950,0,0.9993304607769969,it as an element  anywhere in our JSX. T
chunk_059400,0,0.9978915153456634,es it convenient to demonstrate their si
chunk_059850,0,0.9495106321155284,st component its own list  variable. Opt
chunk_060300,2,0.9984814853407381, component hierarchy would not render . 
chunk_060750,2,0.9853203554715071,   <React.StrictMode >     <App />   </R
chunk_061200,2,0.8602622074734161,e React inserts itself into the HTML  to
chunk_061650,2,0.8294248711147025,X as parameter which usually represents 
chunk_062100,2,0.999305011571713,"a React application from scratch, there "
chunk_062550,2,0.9985715004964584,file and a lar ge JavaScript file? You c
chunk_063000,0,0.9589919925797955,t where React inserts itself. From there
chunk_063450,0,0.9921530383750975,ys of declaring functions in JavaScript 
chunk_063900,0,0.9991970881886145,ns to arrow function expressions. While 
chunk_064350,0,0.792701761821788,"ction components can be refactored, but "
chunk_064800,3,0.9999998258619353," in between, you can remove the block bo"
chunk_065250,4,0.9999674984305342, addOne = (count) => count + 1; Let’s se
chunk_065700,4,0.9516440789563152, App = () => (   <div>     ...   </div> 
chunk_066150,0,0.5574480561646951,s with curly braces over concise bodies 
chunk_066600,3,0.9655556775648594,   // perform a task in between   return
chunk_067050,3,0.9214639650109098,"ur component declaration more concise, y"
chunk_067500,0,0.9634435482503066," are using TypeScript, check out the aut"
chunk_067950,0,0.9993548791146677,ent() {...} . Question: How do you decla
chunk_068400,0,0.6933710635998361,d in our project is the Search component
chunk_068850,4,0.9996658358168569,tatement: src/App.jsx const Search = () 
chunk_069300,4,0.9999985730434082,  attribute (JSX named attribute) of the
chunk_069750,0,0.9970612880769185," in a web browser , open the browser ’s "
chunk_070200,0,0.9991330734462105,prevent the native browser behavior . Fo
chunk_070650,0,0.9970810172135485,ss HTML  elements in JSX handler functio
chunk_071100,0,0.9724513813686266,} /> // do this instead <input onChange 
chunk_071550,0,0.9861226349285077,t onChange={handleChange} /> ). When dev
chunk_072000,0,0.9729649032203408,"tion to the onChange  attribute, add a o"
chunk_072450,0,0.8823584275439612,"ute, like onClick= {handleClick} . Quest"
chunk_072900,3,0.9990138764246461,ler in JSX? Answer: Use an arrow functio
chunk_073350,3,0.9993058244739034,or manipulate it. Question: How do you a
chunk_073800,4,0.6322512895071941,: It stops the event from propagating up
chunk_074250,0,0.9994562178165022,t maintainable with multiple variables a
chunk_074700,4,0.9974447671736545,riptive name. Don’ t forget to refactor 
chunk_075150,0,0.9800633134482932,"n Abramov, Andrew Clark',       num_comm"
chunk_075600,4,0.9992111485507975, ... ];   return (     <div>       ...  
chunk_076050,0,0.9914845910120208,(       <li key={item.objectID}>        
chunk_076500,0,0.7535945522825904,"rror stating, “error ‘list’  is missing "
chunk_076950,0,0.9826007434240687,embrace TypeScript in your React develop
chunk_077400,0,0.9907142418339527, t know how to pass each item to the ext
chunk_077850,4,0.9970235700403871,"rself after some time, check out how the"
chunk_078300,0,0.9276111940192618,rget the key attribute which we introduc
chunk_078750,0,0.7226926782573684,"d, you should see the list rendering aga"
chunk_079200,0,0.9985399270108324, vehicle to share information from top t
chunk_079650,0,0.999893926692843,r properties) are a mechanism for passin
chunk_080100,0,0.8991571361554527,"nt? Answer: No, props are immutable. The"
chunk_080550,4,0.9826890258049957,", but can also get mutated by using a fu"
chunk_081000,4,0.9999989948669075, input field element in the Search compo
chunk_081450,4,0.9798030808888744,  <p>         Searching for <strong>{sea
chunk_081900,4,0.9962300949028748,eact from 'react'; ... const Search = ()
chunk_082350,4,0.9993110849007605,React’ s useState  method takes an initi
chunk_082800,4,0.9703836726372876,o update it (write). When the user types
chunk_083250,0,0.9968025313765964,nto each of your components. For example
chunk_083700,0,0.9946406741317115, changed. Now you have heard the terms r
chunk_084150,0,0.9972335688686303,es a re- rendering of all the components
chunk_084600,0,0.9998695837054791,y useState  hooks as you want in one or 
chunk_085050,0,0.9920977160309116,and warnings to identify potential issue
chunk_085500,0,0.9987814775776885,t state from its internal closure . This
chunk_085950,0,0.9996585165237072,rce code . Recap all the source code cha
chunk_086400,0,0.9996606217910304, How do you use useState to declare stat
chunk_086850,0,0.9420834302936716,tate? Answer: Use the second entry retur
chunk_087300,4,0.9040998739126995, an object allows you to manage multiple
chunk_087750,0,0.9928446105836627,down as information from parent to child
chunk_088200,4,0.9543489481363533,onent does not share its state with othe
chunk_088650,0,0.9999936796081887,communicate to a child component via pro
chunk_089100,4,0.9999999650982693,"handler (C), and calls back  to the plac"
chunk_089550,4,0.9997496439358401,chTerm] = React.useState('');   const ha
chunk_090000,0,0.9458549841363205, just a more specific type of an event h
chunk_090450,0,0.9985807218523235,ssed as props from a parent component to
chunk_090900,0,0.9993864235919259,e author ’s source code here. Revisit th
chunk_091350,0,0.9999601773220728,"a prop, like <ChildComponent callback= {"
chunk_091800,0,0.993189264503619," asynchronous, allowing for handling asy"
chunk_092250,4,0.9995425825626667,n to use callback handlers for form subm
chunk_092700,4,0.9999952192456073,"nt. So far , we have learned about how t"
chunk_093150,4,0.9995143469573166,rriving searchTerm  in the App component
chunk_093600,4,0.9999843323038253,in the Search component in the first pla
chunk_094050,4,0.9999922454238652, the stories  before they are passed to 
chunk_094500,4,0.9999773880555983,ies} />     </div>   ); }; const Search 
chunk_094950,4,0.9992904643245923,ly passes up the event to the App compon
chunk_095400,4,0.9998841255677176,the searchTerm  state down as props). Ru
chunk_095850,4,0.9999343233833222,hich allows this particular component to
chunk_096300,4,0.9999999947355178,nd the searchTerm  before consulting the
chunk_096750,3,0.9999344408421842,h={handleSearch} />       <hr />       <
chunk_097200,3,0.9981489817295849,oved: Code Playground const words = [   
chunk_097650,3,0.9999999940269788,filter((story) =>     story.title.includ
chunk_098100,4,0.9999920322325935,r the searchTerm  is present as string i
chunk_098550,4,0.9999984662162941,pp = () => {   ...   const searchedStori
chunk_099000,4,0.9091083763142099,"o the Search component. After all, knowi"
chunk_099450,0,0.9997939383726583,all the source code changes from this se
chunk_099900,0,0.9995730296993685,"e and manage state at a higher level, ma"
chunk_100350,0,0.9988191311869208,te in a component? Answer: Lifting state
chunk_100800,3,0.845194207576604,de how to update itsstate. Question: Is 
chunk_101250,4,0.9991384474764656,nts come with their internal state which
chunk_101700,4,0.9999943010626526," App component, use 'React'  as initial "
chunk_102150,4,0.9999332084985633,do we see the changes reflected in it. T
chunk_102600,4,0.9999999704517681,ovide the current state as value  to it:
chunk_103050,4,0.9975743150782462,e={props.search}       onChange={props.o
chunk_103500,4,0.983383173841349,. Earlier the HTML  element did its own 
chunk_103950,0,0.9999545356151979,your source code against the author ’s s
chunk_104400,0,0.999306758012111,Question: How do you create a controlled
chunk_104850,3,0.748588494627342,hange handler to update the correspondin
chunk_105300,0,0.9999626363842539, from parent to child down the component
chunk_105750,0,0.999655241233411,anced props techniques that will make yo
chunk_106200,0,0.9793421483288421,cessing an object’ s properties with mod
chunk_106650,0,0.7911909867830367,ten a more straightforward and elegant a
chunk_107100,4,0.9620761838676374,he destructuring of the props object wit
chunk_107550,4,0.7281359179401998, be used conveniently in the component. 
chunk_108000,4,0.6071235397787089,y destructuring the props  object righta
chunk_108450,4,0.8972790774554991,ormation that is contained in the props 
chunk_108900,4,0.9996310672126243, = ({ item }) => (   <li>     <span>    
chunk_109350,0,0.9997440203428037,the code and the overall development exp
chunk_109800,0,0.9702536713662467,"ignature, it isn’t directly used in the "
chunk_110250,0,0.9985909545235,"e : 'Robin',   pet: {     name: 'Trixi',"
chunk_110700,4,0.9809247393705042, to gather all the needed information of
chunk_111150,0,0.9999386109756143,pan>     <span>{author}</span>     <span
chunk_111600,3,0.5647144901937442, of clutter through indentations in the 
chunk_112050,4,0.9999995734467916,property of the item  object: src/App.js
chunk_112500,4,0.9990080366381268,span>       <a href={url}>{title}</a>   
chunk_112950,0,0.9983451366422996,"tName : 'Robin',   lastName : 'Wieruch' "
chunk_113400,4,0.969649026798414,in React’ s JSX. Instead of passing each
chunk_113850,4,0.9999102771940832,"e, url, author, num_comments, points }) "
chunk_114300,3,0.9960162250362616,n object destructuring: Code Playground 
chunk_114750,3,0.999659566626382, mistaken with the spread operator . Whe
chunk_115200,4,0.9999976723949063, as attribute/value pairs into the Item 
chunk_115650,4,0.9586674602142617,an>     <span>{points}</span>   </li> );
chunk_116100,0,0.999578077503156,"ot only for the props  object, but also "
chunk_116550,4,0.6036712462238445," rest operators, which shouldn’ t be con"
chunk_117000,4,0.9999848614455898,> ); const Item = ({ item }) => (   <li>
chunk_117450,0,0.9996827565229405,ch are not familiar to everyone. After a
chunk_117900,0,0.9994731501908389,gh the component to the next child compo
chunk_118350,0,0.9999233456313468,erties from your props object. Use neste
chunk_118800,0,0.9999777955557856,rator  and rest operator . Get a good se
chunk_119250,0,0.99747475406739,’ s parameters? Answer: You can destruct
chunk_119700,0,0.9997239568116794,"ps based on your component’ s needs, lea"
chunk_120150,0,0.9974088452908242,mponent {…props} newProp={value} />. Que
chunk_120600,0,0.9992464067011857,estion: Why is array destructuring used 
chunk_121050,0,0.9953241697448603,Prop drilling is the process of passing 
chunk_121500,4,0.9793817322305357,"s, or with built-in JavaScript functions"
chunk_121950,4,0.9999906586048335,"er the most recent search, so that the a"
chunk_122400,4,0.9997441755707696,andleSearch = (event) => {     setSearch
chunk_122850,0,0.994529767690418,| 'React'   );   ... ); Good to know: Ja
chunk_123300,4,0.8204193374455141,localStorage .getItem('search' )   : 'Re
chunk_123750,3,0.9547964360813509,"omplete, but there is one flaw that may "
chunk_124200,4,0.9999709190531839,zed place and not in a specific handler 
chunk_124650,4,0.8589149474201798,.value);   };   ... ); React’ s useEf fe
chunk_125100,0,0.9989590630636535,"to the HTML  input field). In addition, "
chunk_125550,4,0.9999745452304714,"t time. After all, the hook lets us opt "
chunk_126000,3,0.9158976955223282,erm  state is updated via setSearchTerm 
chunk_126450,4,0.9629822253131001,k’ s dependency array . Check the logs f
chunk_126900,0,0.9999251262816817,rch. That’ s because JavaScript’ s logic
chunk_127350,3,0.9981885694687903,mponents to perform side ef fects. Quest
chunk_127800,3,0.9893291386541366,([]) as the second argument. Question: C
chunk_128250,0,0.9925664004239101,he useEf fect with the cleanup logic. Qu
chunk_128700,4,0.99968851271551,? Answer: It allows you to handle asynch
chunk_129150,0,0.6556117722633396,"al hooks provided by React, our upcoming"
chunk_129600,4,0.9999975599563766,e our exploration by outlining how we in
chunk_130050,0,0.9890450138494078,"his custom hook, we can use it in a mann"
chunk_130500,4,0.9164025962814393,troduced local storage features are ther
chunk_130950,4,0.999883174155478, the useState  and useEffect  hooks whic
chunk_131400,0,0.8253723832312206,", [searchTerm]);   return [searchTerm, s"
chunk_131850,0,0.9733326014290047,"e generic, we have to adjust the interna"
chunk_132300,4,0.9992795337713092,state updater function anything domain-r
chunk_132750,4,0.9695055623624589,"mes that it could change, so it needs to"
chunk_133200,4,0.9964610811472563,"alue, key]);   return [value, setValue];"
chunk_133650,3,0.8586691491843659,en to use the same key more than once fo
chunk_134100,0,0.9981205359730276,vial implementation details that should 
chunk_134550,0,0.9992401388246972, all the source code changes from this s
chunk_135000,0,0.9999703244995318,React hooks to encapsulate and reuse log
chunk_135450,0,0.9999285135514484, their association with React hooks. Que
chunk_135900,0,0.9968193164088759,cess to the component’ s props. They usu
chunk_136350,0,0.9977844437517547,uestion: Can custom hooks have side ef f
chunk_136800,4,0.9068436147872271,mponents return JSX with one top-level H
chunk_137250,4,0.9850379896822294,earch}       onChange={onSearch}     /> 
chunk_137700,4,0.993984685493526,"search""     type=""text""     value={searc"
