summary_id,level,cluster_id,chunks_count,silhouette_score,summary_preview,created_at
level_0_cluster_0_c7885698,0,0,122,0.0003618438212124389,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-26T17:51:20.587933
level_0_cluster_0_231e5793,0,0,512,0.01940770448731996,"Here’s a concise summary of the provided content, focusing on the core themes and key points:

“The ",2026-03-26T18:07:58.714973
level_0_cluster_0_a4ae82b2,0,0,354,0.015538674011947425,"Here’s a summary of the provided content, aiming for a 3-5 paragraph overview:

**Main Topic & Theme",2026-03-26T18:52:01.917955
level_0_cluster_0_204984e7,0,0,144,0.008295089679676322,"Here’s a summary of the provided text, aiming for a concise and informative overview:

“The Book of ",2026-03-26T19:50:30.307087
level_0_cluster_0_f2647e08,0,0,602,0.014182911375511044,"Here’s a concise summary of the provided text, focusing on the core themes and key details:

This do",2026-03-27T10:08:51.399402
level_0_cluster_0_d28366ce,0,0,1128,0.008956701129883237,"Here’s a concise summary of “The Road to React” focusing on the core themes and key points:

“The Ro",2026-03-27T12:37:31.342453
level_0_cluster_0_aa524747,0,0,738,0.011396638651537233,"Here’s a summary of the provided text, aiming for a concise and informative overview:

This document",2026-03-28T11:25:51.168498
level_0_cluster_1_844aac39,0,1,94,0.0003618438212124389,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

**Su",2026-03-26T17:52:08.839517
level_0_cluster_1_68fe4790,0,1,170,0.01940770448731996,"Here’s a summary of the provided content, aiming for a concise and informative overview:

**Summary:",2026-03-26T18:08:46.696279
level_0_cluster_1_6222a2e6,0,1,276,0.008295089679676322,"Here’s a summary of the provided text, aiming for a concise and informative overview:

This document",2026-03-26T19:51:14.053068
level_0_cluster_1_dc2ccc3d,0,1,578,0.008956701129883237,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-27T12:38:12.912744
level_0_cluster_1_43ce71e6,0,1,838,0.011396638651537233,"Here’s a summary of the provided text, aiming for clarity and conciseness:

This lengthy verse, draw",2026-03-28T11:26:29.857594
level_0_cluster_2_1e5f0113,0,2,70,0.0003618438212124389,"Okay, here’s a summary of the provided content, aiming for a concise and informative overview:

**Su",2026-03-26T17:53:02.298105
level_0_cluster_2_12c5bfb4,0,2,540,0.01940770448731996,"Here’s a concise summary of the provided content, designed to capture the main themes and key points",2026-03-26T18:09:30.286583
level_0_cluster_2_2316fed2,0,2,399,0.008295089679676322,"Here’s a concise summary of the provided text, capturing the main themes and key points:

**Summary:",2026-03-26T19:52:01.639979
level_0_cluster_2_94b14b6b,0,2,672,0.008956701129883237,"Here’s a summary of the provided text, focusing on the core themes and key details:

This document o",2026-03-27T12:38:48.645454
level_0_cluster_2_f044773b,0,2,1584,0.011396638651537233,"Here’s a concise summary of “The Road to React” focusing on the core themes and key points:

“The Ro",2026-03-28T11:27:06.033182
level_0_cluster_3_5fdf0908,0,3,566,0.0003618438212124389,"Here’s a concise summary of the provided content, designed to capture the core themes and key detail",2026-03-26T17:53:47.043444
level_0_cluster_3_bccd372e,0,3,78,0.01940770448731996,"Here’s a concise summary of “The Book of Five Rings” focusing on the core themes and key points:

“T",2026-03-26T18:10:27.415133
level_0_cluster_3_2d10ed16,0,3,266,0.008295089679676322,"Here’s a summary of the provided content, focusing on the core themes and key points:

This document",2026-03-26T19:52:49.837024
level_0_cluster_3_62628451,0,3,758,0.008956701129883237,"Here’s a summary of the provided text, aiming for a concise and informative overview:

This document",2026-03-27T12:39:32.223618
level_0_cluster_3_b86ff6ad,0,3,966,0.011396638651537233,"Here’s a concise summary of the provided text, capturing the main themes and key points:

The Odysse",2026-03-28T11:27:48.345980
level_0_cluster_4_08a5945a,0,4,100,0.0003618438212124389,"Here’s a summary of the provided content, designed to be concise and informative:

This document foc",2026-03-26T17:54:34.663600
level_0_cluster_4_a351a46c,0,4,192,0.01940770448731996,"Here’s a summary of the provided content, aiming for clarity and conciseness:

**Summary:**

This do",2026-03-26T18:11:20.885993
level_0_cluster_4_c7714448,0,4,397,0.008295089679676322,"Here’s a concise summary of the provided content, designed to capture the core themes and key points",2026-03-26T19:53:33.940505
level_0_cluster_4_63c3bc9d,0,4,312,0.008956701129883237,"Here’s a summary of the provided text, aiming for a concise and informative overview:

The text cent",2026-03-27T12:40:09.411691
level_0_cluster_4_e13afdd0,0,4,855,0.011396638651537233,"Here’s a summary of the provided text, focusing on the core themes and key details:

This document e",2026-03-28T11:28:30.326360
level_0_cluster_5_67af951d,0,5,136,0.0003618438212124389,"Here’s a concise summary of the provided text, capturing the main themes and key points:

**Summary:",2026-03-26T17:55:24.662900
level_0_cluster_5_221785a5,0,5,256,0.01940770448731996,"Here’s a summary of the provided text, aiming for clarity and capturing the core themes:

This docum",2026-03-26T18:12:10.110006
level_0_cluster_5_c914c521,0,5,892,0.008295089679676322,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T19:54:20.204987
level_0_cluster_5_d40c435e,0,5,184,0.008956701129883237,"Here’s a concise summary of the provided text, focusing on the core themes and key points:

The text",2026-03-27T12:40:49.707782
level_0_cluster_5_0b673cc7,0,5,594,0.011396638651537233,"Here’s a concise summary of “The Book of Five Rings” capturing the main themes and key points:

“The",2026-03-28T11:29:15.345842
level_0_cluster_6_b0ebf0e5,0,6,576,0.0003618438212124389,"Okay, here’s a summary of the provided content, aiming for a concise, informative, and well-structur",2026-03-26T17:56:17.476068
level_0_cluster_6_16708f7d,0,6,218,0.01940770448731996,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-26T18:13:01.350754
level_0_cluster_6_1fe6795e,0,6,176,0.008295089679676322,"Here’s a summary of the provided content, designed to capture the core themes and key details:

**Su",2026-03-26T19:55:08.593437
level_0_cluster_6_3c2dbc09,0,6,448,0.008956701129883237,"Here’s a summary of the provided text, capturing the core themes and key points:

This document, a r",2026-03-27T12:41:28.811970
level_0_cluster_6_3f382713,0,6,414,0.011396638651537233,"Here’s a concise summary of the provided text, capturing the main themes and key points:

This docum",2026-03-28T11:29:59.037867
level_0_cluster_7_d513c94b,0,7,64,0.0003618438212124389,"Here’s a concise summary of Robin Wieruch’s “The Road to React” book, incorporating the requested el",2026-03-26T17:57:02.172576
level_0_cluster_7_6269b9c7,0,7,102,0.01940770448731996,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T18:13:48.210802
level_0_cluster_7_f1ab694f,0,7,198,0.008295089679676322,"Here’s a summary of the provided text, focusing on the core themes and key details:

The text center",2026-03-26T19:55:56.865401
level_0_cluster_7_c08761ea,0,7,368,0.008956701129883237,"Here’s a summary of the provided text, aiming for a concise and informative overview:

This document",2026-03-27T12:42:06.387553
level_0_cluster_7_8677d75e,0,7,722,0.011396638651537233,"Here’s a concise summary of the provided content, designed to capture the main themes and key points",2026-03-28T11:30:40.697782
level_1_cluster_0_32a30cac,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T17:57:43.508207
level_1_cluster_0_3615bce7,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, aiming for clarity and capturing the core themes a",2026-03-26T18:14:28.146084
level_1_cluster_0_1d2caee2,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-26T19:56:39.796817
level_1_cluster_0_043b467b,1,0,4,0.1455810984225596,"Okay, here’s a 5-paragraph summary of the provided content, focusing on the core themes and key deta",2026-03-27T12:42:41.978342
level_1_cluster_0_8c088876,1,0,4,0.1455810984225596,"Here’s a concise summary of the provided content, focusing on the core themes and key details:

This",2026-03-28T11:31:21.272085
level_1_cluster_1_996fcd9a,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, aiming for clarity and capturing the key elements:

T",2026-03-26T17:58:18.434551
level_1_cluster_1_737933bd,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, designed to capture the main themes and key points:

",2026-03-26T18:15:07.472448
level_1_cluster_1_d5a1988d,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, aiming for a 3-5 paragraph format:

This document foc",2026-03-26T19:57:23.600417
level_1_cluster_1_49a20f18,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, designed to capture the main themes and key points:

",2026-03-27T12:43:13.857453
level_1_cluster_1_aeb3b812,1,1,4,0.1455810984225596,"Here’s a concise summary of the provided text, designed to capture the main themes and key points:

",2026-03-28T11:31:56.933862
